timestamp,region,source_ip,username,outcome
2026-07-30T09:10:02,us-east,71.12.44.9,jdoe,success
2026-07-30T09:12:47,us-east,71.12.44.9,jdoe,success
2026-07-30T09:14:00,us-east,203.0.113.55,admin,fail
2026-07-30T09:14:22,us-east,203.0.113.55,root,fail
2026-07-30T09:14:45,us-east,203.0.113.55,jdoe,fail
2026-07-30T09:15:08,us-east,203.0.113.55,asmith,fail
2026-07-30T09:15:31,us-east,203.0.113.55,mjones,fail
2026-07-30T09:15:54,us-east,203.0.113.55,bwilliams,fail
2026-07-30T09:16:17,us-east,203.0.113.55,svc_backup,fail
2026-07-30T09:17:05,us-east,203.0.113.55,asmith,success
2026-07-30T09:20:11,us-east,88.4.19.201,mjones,success
2026-07-30T10:01:33,eu-west,90.187.22.14,klein,success
2026-07-30T10:05:47,eu-west,90.187.22.14,klein,fail
2026-07-30T14:02:10,eu-west,198.51.100.23,guest,fail
2026-07-30T14:02:33,eu-west,198.51.100.23,test,fail
2026-07-30T14:02:56,eu-west,198.51.100.23,administrator,fail
2026-07-30T14:03:19,eu-west,198.51.100.23,backup,fail
2026-07-30T14:03:42,eu-west,198.51.100.23,svc_acct,fail
2026-07-30T14:04:05,eu-west,198.51.100.23,guest,fail
2026-07-30T14:04:28,eu-west,198.51.100.23,test,fail
2026-07-30T14:04:50,eu-west,198.51.100.23,administrator,fail
2026-07-30T14:10:02,eu-west,77.21.6.140,dubois,success
2026-07-30T16:33:19,ap-south,203.0.113.55,vpatel,success
2026-07-30T18:02:44,ap-south,49.207.10.3,rkumar,success
2026-07-30T18:15:09,ap-south,49.207.10.3,rkumar,fail
2026-07-30T18:15:40,ap-south,49.207.10.3,rkumar,success
2026-07-30T19:44:12,ap-south,157.32.88.6,skhan,success
2026-07-30T20:01:55,us-east,66.90.14.201,twhite,success
2026-07-30T20:12:38,us-east,66.90.14.201,twhite,success
2026-07-30T21:05:14,eu-west,45.130.22.9,mueller,success
2026-07-30T21:47:02,ap-south,103.22.9.140,nsingh,success
2026-07-30T22:03:11,us-east,71.12.44.9,jdoe,fail
2026-07-30T22:03:40,us-east,71.12.44.9,jdoe,success
2026-07-30T23:18:27,eu-west,90.187.22.14,klein,success
2026-07-31T00:05:19,ap-south,49.207.10.3,rkumar,success
2026-07-31T01:22:48,us-east,66.90.14.201,twhite,success
2026-07-31T02:44:03,eu-west,77.21.6.140,dubois,success
2026-07-31T03:11:47,ap-south,157.32.88.6,skhan,success
2026-07-31T05:02:59,us-east,88.4.19.201,mjones,success
2026-07-31T06:19:22,eu-west,45.130.22.9,mueller,fail
