account_id,company,plan,mrr,signup_date
ACC-001,Northwind Traders,Enterprise,2400.00,2024-02-10
ACC-002,Contoso Ltd,Growth,890.00,2024-05-03
ACC-003,Globex Corp,Enterprise,3100.00,2023-11-21
ACC-004,Initech,Growth,750.00,2025-01-15
ACC-005,Umbrella Inc,Starter,150.00,2025-03-02
ACC-006,Wayne Enterprises,Enterprise,4200.00,2023-08-09
ACC-007,Stark Industries,Growth,980.00,2024-09-30
ACC-008,Hooli,Starter,120.00,2025-04-18
ACC-009,Soylent Corp,Growth,860.00,2024-12-01
ACC-010,Aperture Science,Enterprise,2700.00,2023-06-14
ACC-011,Cyberdyne Systems,Starter,175.00,2025-02-22
ACC-012,Massive Dynamic,Enterprise,3600.00,2024-01-05
ACC-013,Oscorp,Growth,910.00,2024-07-19
ACC-014,Tyrell Corp,Starter,140.00,2025-05-08
ACC-015,Vandelay Industries,Growth,830.00,2024-03-27
