account_id,feature,event_ts
ACC-001,dashboard_view,2026-07-20T09:12:00
ACC-001,report_export,2026-07-21T14:03:00
ACC-001,dashboard_view,2026-07-22T08:47:00
ACC-001,api_call,2026-07-24T11:15:00
ACC-002,dashboard_view,2026-07-19T10:02:00
ACC-002,api_call,2026-07-20T10:45:00
ACC-002,api_call,2026-07-25T09:30:00
ACC-003,dashboard_view,2026-07-18T13:20:00
ACC-003,report_export,2026-07-19T13:55:00
ACC-003,dashboard_view,2026-07-21T15:10:00
ACC-003,dashboard_view,2026-07-23T15:40:00
ACC-003,report_export,2026-07-26T09:05:00
ACC-005,dashboard_view,2026-07-22T16:02:00
ACC-006,api_call,2026-07-17T08:00:00
ACC-006,api_call,2026-07-18T08:20:00
ACC-006,report_export,2026-07-19T09:12:00
ACC-006,dashboard_view,2026-07-22T09:40:00
ACC-006,api_call,2026-07-25T10:01:00
ACC-006,api_call,2026-07-27T10:22:00
ACC-007,dashboard_view,2026-07-20T11:00:00
ACC-007,dashboard_view,2026-07-24T11:30:00
ACC-008,dashboard_view,2026-07-21T09:15:00
ACC-010,api_call,2026-07-16T07:45:00
ACC-010,api_call,2026-07-17T07:50:00
ACC-010,report_export,2026-07-19T08:33:00
ACC-010,dashboard_view,2026-07-20T08:58:00
ACC-010,api_call,2026-07-23T09:10:00
ACC-011,dashboard_view,2026-07-25T12:00:00
ACC-012,api_call,2026-07-18T14:00:00
ACC-012,api_call,2026-07-19T14:20:00
ACC-012,dashboard_view,2026-07-20T14:45:00
ACC-012,report_export,2026-07-22T15:00:00
ACC-012,api_call,2026-07-26T15:30:00
ACC-014,dashboard_view,2026-07-24T10:10:00
ACC-015,dashboard_view,2026-07-19T09:00:00
ACC-015,api_call,2026-07-21T09:20:00
ACC-015,report_export,2026-07-27T10:00:00
ACC-099,dashboard_view,2026-07-20T12:00:00
ACC-099,api_call,2026-07-21T12:15:00
